Distritos;Populacao
Água Rasa;33644
Alto de Pinheiros;17822
Anhanguera;28129
Aricanduva;32288
Artur Alvim;37535
Barra Funda;6298
Bela Vista;30163
Belém;17848
Bom Retiro;13432
Brás;11611
Brasilândia;88717
Butantã;21827
Cachoeirinha;49145
Cambuci;15967
Campo Belo;26907
Campo Grande;44653
Campo Limpo;79058
Cangaíba;49463
Capão Redondo;97707
Carrão;34431
Casa Verde;32263
Cidade Ademar;96985
Cidade Dutra;71787
Cidade Líder;47883
Cidade Tiradentes;72788
Consolação;23489
Cursino;45410
Ermelino Matarazzo;41595
Freguesia do Ó;53620
Grajaú;124457
Guaianases;35241
Iguatemi;47123
Ipiranga;44270
Itaim Bibi;43209
Itaim Paulista;75996
Itaquera;73812
Jabaquara;86848
Jaçanã;33913
Jaguara;9343
Jaguaré;19925
Jaraguá;71292
Jardim Ângela;106842
Jardim Helena;42685
Jardim Paulista;39724
Jardim São Luís;99983
José Bonifácio;48968
Lajeado;54455
Lapa;28699
Liberdade;29803
Limão;28919
Mandaqui;43597
Marsilac;2736
Moema;40810
Mooca;33055
Morumbi;20644
Parelheiros;47670
Pari;6334
Parque do Carmo;24549
Pedreira;53954
Penha;49855
Perdizes;49726
Perus;28812
Pinheiros;29115
Pirituba;64329
Ponte Rasa;33328
Raposo Tavares;37171
República;25931
Rio Pequeno;44468
Sacomã;97566
Santa Cecília;36681
Santana;46930
Santo Amaro;31751
São Domingos;32376
São Lucas;55156
São Mateus;54502
São Miguel;30199
São Rafael;53009
Sapopemba;100270
Saúde;58598
Sé;9648
Socorro;14432
Tatuapé;40665
Tremembé;76711
Tucuruvi;38854
Vila Andrade;55970
Vila Curuçá;50808
Vila Formosa;36903
Vila Guilherme;21958
Vila Jacuí;50007
Vila Leopoldina;19260
Vila Maria;39134
Vila Mariana;57092
Vila Matilde;40628
Vila Medeiros;44205
Vila Prudente;41236
Vila Sônia;45018
